Video Kaynağı,Yorum ID,Üst Yorum ID,Yorum Yapan Kişi,Yanıtlanan Kişi,Yorum Metni,Beğeni Sayısı,Tarih,Yanıt Mı?
https://www.youtube.com/watch?v=0vf80JFe4tU,Ugy87XM2Oeayy0SlLJN4AaABAg.AEK1zQEvsJbAEUpzOCTGTu,UgwpIewk5MUD-kiZuTB4AaABAg,@nairiagay7685,@ezoskilyrics_3004,(emre de) HAHAHAHAHAHA,46,1 yıl önce,Evet
https://www.youtube.com/watch?v=0vf80JFe4tU,Ugy87XM2Oeayy0SlLJN4AaABAg.AEK1zQEvsJbAEUqZtHfU4o,UgwpIewk5MUD-kiZuTB4AaABAg,@CeylanKsd,@ezoskilyrics_3004,@nairiagay7685 o da çok tatlı ama ya,2,1 yıl önce,Evet
https://www.youtube.com/watch?v=0vf80JFe4tU,Ugy87XM2Oeayy0SlLJN4AaABAg.AEK1zQEvsJbAF0AuF_5wL7,UgwpIewk5MUD-kiZuTB4AaABAg,@irmakgunes7,@ezoskilyrics_3004,İnci emrenin neyi,1,1 yıl önce,Evet
https://www.youtube.com/watch?v=0vf80JFe4tU,Ugy87XM2Oeayy0SlLJN4AaABAg.AEK1zQEvsJbAF0CEBR9M48,UgwpIewk5MUD-kiZuTB4AaABAg,@CeylanKsd,@ezoskilyrics_3004,@irmakgunes9414  komşusu,2,1 yıl önce,Evet
https://www.youtube.com/watch?v=0vf80JFe4tU,UgwHX5iXvKRLfQRDOJp4AaABAg.AEKlxYdKl0mASX8XOmbi1K,UgwpIewk5MUD-kiZuTB4AaABAg,@september264,@ezoskilyrics_3004,"Evet ya, Ayşegül'le olan videoda şunu fark ettim. Tuğba'nın aksine, o videoda İnci bayağı dışlanmış, pek bir şey de yapamaya fırsat bulamamis gibi",8,3 ay önce (düzenlendi),Evet
https://www.youtube.com/watch?v=0vf80JFe4tU,UgwHX5iXvKRLfQRDOJp4AaABAg.AEKlxYdKl0mAERywjOulco,UgwpIewk5MUD-kiZuTB4AaABAg,@öznuryazıcı-i5v,@ezoskilyrics_3004,6:51 burada kesinliklee,21,1 yıl önce,Evet
https://www.youtube.com/watch?v=0vf80JFe4tU,UgwHX5iXvKRLfQRDOJp4AaABAg.AEKlxYdKl0mAERPbqd6MMd,UgwpIewk5MUD-kiZuTB4AaABAg,@TanemOzel,@ezoskilyrics_3004,Evet ya çok tatlıı❤,6,1 yıl önce,Evet
https://www.youtube.com/watch?v=0vf80JFe4tU,UgwHX5iXvKRLfQRDOJp4AaABAg.AEKlxYdKl0mAEMTw3dy78Q,UgwpIewk5MUD-kiZuTB4AaABAg,@soyaalarim,@ezoskilyrics_3004,Evett,12,1 yıl önce,Evet
https://www.youtube.com/watch?v=0vf80JFe4tU,UgwHX5iXvKRLfQRDOJp4AaABAg.AEKlxYdKl0mAKdVQ9fO1qj,UgwpIewk5MUD-kiZuTB4AaABAg,@starriestarzz,@ezoskilyrics_3004,EVET COK TATLIIIIIU,1,9 ay önce,Evet
https://www.youtube.com/watch?v=0vf80JFe4tU,UgwHX5iXvKRLfQRDOJp4AaABAg.AEKlxYdKl0mAFIWcPk8pMd,UgwpIewk5MUD-kiZuTB4AaABAg,@Mizgin-m7o,@ezoskilyrics_3004,Bu yüzden inciyi dışlıyor koca yürekli adam 😍,2,1 yıl önce,Evet
